,title,heading,content,tokens
0,Adzuki bean,Summary,"Vigna angularis, also known as the azuki bean(sometimes mistakenly spelled as adzuki) (Japanese: 小豆 (アズキ), azuki, Uncommon アヅキ, azuki), azuki bean, azuki bean, red bean, or red mung bean, is an annual vine widely cultivated throughout East Asia for its small (approximately 5 mm or 1⁄4 in long) bean. The cultivars most familiar in East Asia have a uniform red color, but there are also white, black, gray, and variously mottled varieties.
Scientists presume Vigna angularis var. nipponensis is the progenitor.",148
1,Zinc toxicity,High levels of intake by humans,"Zinc has been used therapeutically at a dose of 150 mg/day for months, or in some cases for years, and in one case at a dose of up to 2000 mg/day zinc for months. A decrease in copper levels and hematological changes have been reported; however, those changes were completely reversed with the cessation of zinc intake.Zinc has been popularly used as zinc gluconate or zinc acetate lozenges for treating the common cold, and therefore the safety of usage at about 100 mg/day level is a relevant question. Thus, given that doses of over 150 mg/day for months to years has caused no permanent harm in many cases, a one-week usage of about 100 mg/day of zinc in the form of lozenges would not be expected to cause serious or irreversible adverse health issues in most individuals.Unlike iron, the elimination of zinc is concentration-dependent.",195
2,Pesticides in New Zealand,"2,4,5-T","Manufacture of 2,4,5-Trichlorophenoxyacetic acid (2,4,5-T) ceased in New Zealand in 1987 and it is no longer sold in New Zealand.",45
3,Copper in biology,Hereditary copper metabolic diseases,"Several rare genetic diseases (Wilson disease, Menkes disease, idiopathic copper toxicosis, Indian childhood cirrhosis) are associated with the improper use of copper in the body. All of these diseases involve mutations of genes containing the genetic codes for the production of specific proteins involved in the absorption and distribution of copper. When these proteins are dysfunctional, copper either builds up in the liver or the body fails to absorb copper.These diseases are inherited and cannot be acquired. Adjusting copper levels in the diet or drinking water will not cure these conditions (although therapies are available to manage symptoms of genetic copper excess disease).
The study of genetic copper metabolism diseases and their associated proteins are enabling scientists to understand how human bodies use copper and why it is important as an essential micronutrient.The diseases arise from defects in two similar copper pumps, the Menkes and the Wilson Cu-ATPases. The Menkes ATPase is expressed in tissues like skin-building fibroblasts, kidneys, placenta, brain, gut and vascular system, while the Wilson ATPase is expressed mainly in the liver, but also in mammary glands and possibly in other specialized tissues. This knowledge is leading scientists towards possible cures for genetic copper diseases.",257
4,Tomato,Diseases,"Tomato cultivars vary widely in their resistance to disease. Modern hybrids focus on improving disease resistance over the heirloom plants.
Various forms of mildew and blight are common tomato afflictions, which is why tomato cultivars are often marked with a combination of letters that refer to specific disease resistance. The most common letters are:

LB – 'late blight'
V – verticillium wilt
F – fusarium wilt strain I
FF – fusarium wilt strain I and II
N – nematodes
T – tobacco mosaic virus, and
A – alternaria.A common tomato disease is tobacco mosaic virus. Handling cigarettes and other infected tobacco products can transmit the virus to tomato plants.Another particularly dreaded disease is curly top, carried by the beet leafhopper, which interrupts the lifecycle. As the name implies, it has the symptom of making the top leaves of the plant wrinkle up and grow abnormally.Bacterial wilt is another common disease impacting yield. Wang et al., 2019 found phage combination therapies to reduce the impact of bacterial wilt, sometimes by reducing bacterial abundance and sometimes by selecting for resistant but slow growing genetics.",247
5,Principles of Organic Agriculture,Summary,"The Principles of Organic Agriculture were established by the International Federation of Organic Agriculture Movements (IFOAM) in September 2005.  They are aspirations for organic farming.  The Principles were approved by the General Assembly of IFOAM on September 25, 2005.
The General Assembly of IFOAM approved the Principles of Organic Agriculture on September 28, 2005.  The principles were developed during an intensive two-year participatory process.  The aim of the principles is both to inspire the organic movement and to describe the purpose of organic agriculture to the wider world.",117
6,Soil microbiology,Unhelpful microbes,"A funguslike unicellular organism named Phytophthora infestans, responsible for potato blight and other crop diseases, has caused famines throughout history. Other fungi and bacteria cause the decay of roots and leaves.Many strains that seemed promising in the lab often failed to prove effective in the field, because of soil, climate and ecosystem effects, leading companies to skip the lab phase and emphasize field tests.",85
7,Vicia faba,Netherlands,"In the Netherlands, they are traditionally eaten with fresh savory and some melted butter. The combination of the beans tossed with crispy fried bacon is also common. When rubbed, the velvet insides of the pods are a folk remedy against warts.",52
8,Seaweed fertiliser,Bio-remediation of polluted soils,"Seaweed functions as a bio-remediator through its adsorption of harmful pollutants. Functional groups on the algal surface such as ester, hydroxyl, carbonyl amino, sulfhydryl, and phosphate groups drive the biosorption of heavy metal ions. Seaweeds such as Gracilaria corticata varcartecala and Grateloupia lithophila effectively remove a wide variety of heavy metals, including chromium (III) and (IV), mercury (II), lead (II), and cadmium (II) from their environment. In addition, Ulva spp. and Gelidium spp. have been shown to enhance the degradation of DDT in polluted soils and may reduce its bioavailability. Although there is significant potential for seaweed to serve as a bio-remediator for polluted soils, more research is needed to fully develop the mechanisms for this process in the context of agriculture. Heavy metals accumulated by seaweed fertilizer may transfer to crops in some cases, causing significant implications for public health.The application of biochar is another strategy that can remediate and enhance infertile soils. Seaweed can be transformed into biochar and used as a means of increasing the organic matter and nutrient content of the soil. Different types of seaweed appear to yield unique nutrients and parameters; red seaweeds, for example, create biochar that is rich in potassium and sulfur and is more acidic than biochar generated from brown seaweeds. While this is a new field of research, current data shows that targeted breeding of seaweeds may result in biochars that can be tailored to different types of soil and crops.",345
9,Central Tobacco Research Institute,Summary,"Central Tobacco Research Institute (CTRI) or also known as ICAR-CTRI is a central research established in 1947 under the aegis of Indian Central Tobacco Committee (ICTC), Madras. Indian Council of Agricultural Research (ICAR) took over the control of functioning the institute in 1965. It is situated at Rajamahendravaram, Andhra Pradesh, India.",81
