,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn
0,NA,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,Asked about doses of fertilizer for coconut,"Recommended to apply Organic manure @ 25 kg/plant  every year. Open the coconut basin and apply Lime @ 1 kg has to be applied in acid soils two weeks before of fertilizer application.The first split has to be applied in April-June. The dosage is 500 gram urea, 750 gram raj  phos, 1  kg Potash per palm respectively. The second dose has to apply in September-October and the dosage is 500 gram urea, 750 gram raj phos, 1kg Potash per palm respectively.",KERALA,ERNAKULAM,VADAVUCODE,2022-09-01T09:47:57.587
1,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,ERNAKULAM,VYTTILA,2022-09-01T10:13:36.713
2,NA,HORTICULTURE,Vegetables,Peas (field peas/ garden peas/matar),	Plant Protection	,Asked about management of pod bug in vegetable peas,Suggested to spray Chlorantraniliprole 18.5 SC 3ml in 10 litres of water for management of pod bug in peas,KERALA,ERNAKULAM,KOOVAPPADY,2022-09-01T10:53:53.337
3,NA,HORTICULTURE,Fruits,Banana,Nutrient Management,Asked about white pipe in banana,"Responded for banana white pipe symptom, to apply lime at 1 kilogram per banana and after 2 weeks add Borax 10 gram per plant in the soil or spray 2 gram mixed in 1 litre of water.",KERALA,ERNAKULAM,KOOVAPPADY,2022-09-01T10:57:34.81
4,NA,HORTICULTURE,Fruits,Banana,	Plant Protection	,Asked about management of banana pseudostem weevil,"Responded for management of banana pseudostem weevil, to cut 60 cm long pseudostem of harvested banana plant and cut it longitudinally and keep it in the centre of field covered in the evening. Kill the weevils by hand in the morning. ",KERALA,ERNAKULAM,KOOVAPPADY,2022-09-01T10:59:32.527
8,NA,HORTICULTURE,Fruits,Banana,	Plant Protection	,Asked about management of pseudostem weevil in banana,"Recommended to regularly remove dried hanging leaves of the plant. Place 50 gram neem cake powder in the leaf axils on the 5th, 6th and 7th months. 
Mix 3 ml neem oil in 1 litre mud slurry and swab around the pseudostem.
Set traps using pseudostem approximatetly 0.5 m length, split lengthwise and lay in the field. Collect weevils from trap and destroy it.
Spray Beauveria bassiana or Metarhizium anisopliae @ 20g per litre water on pseudostem and pseudostem traps. Fill the leaf axil with Beauveria bassiana or Metarhizium anisopliae @ 20g per litre water. 
Spray Chlorpyrifos 20 EC @ 1.5 ml per litre of water with nozzle directed to the leaf axils and bore holes. 
",KERALA,ERNAKULAM,EDAPPALLY,2022-09-03T15:48:18.737
9,NA,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,Asked about management of collar rot in chilli,Suggested to drench copper oxy chloride 2 gram in one litre of water.,KERALA,ERNAKULAM,EDAPPALLY,2022-09-03T16:26:13.62
12,NA,HORTICULTURE,Fruits,Acid Lime,Nutrient Management,Nutrient management in Acid lime sixth year and above,"30 Kg Organic manure ,1300g Urea , Rajphos 1Kg and Potash 498 g per plant per year,  apply fertilizers in two equal splits, once during May June and second during September - October. Two weeks prior to fertilizer application during May – June apply 500 g lime per plant. 
",KERALA,ERNAKULAM,0   ,2022-09-05T12:41:22.417
13,NA,HORTICULTURE,Plantation Crops,Coconut,	Plant Protection	,Asked about management of Rhinoceros Beetle,"Recommended to provide field sanitation to prevent breeding of beetles. Hook out the beetle from the attacked palms using beetle hook. As a prophylactic measure, application of 250 gram neem cake or marotti (Hydnocarpus wightina) cake mixed with equal volume of sand in the innermost 2-3 leaf axils. This treatment is to be done twice, ie, during April-May before the onset of south-west monsoon and during September-October after the south-west monsoon. Naphthalene balls 12.0 gram (approx. 4 nos.) can be put in the innermost 2 leaf axils adjacent to spindle leaf and covered with fine sand, once in 45 days.  Crown cleaning followed by the application of 20 gram Ferterra 0.4 G mixed with 200 gram sand in the innermost 2-3 leaf axils. The application has to be done thrice during January, May and September.
Spray Metarrhizium anisopliae (250 ml Metarrizhium culture + 750 ml water) in manure pits and other breeding sites of the beetle or incorporate  Clerodendron infortunatum @ 10 % w/w basis in the cowdung and manure pits.",KERALA,ERNAKULAM,KOOVAPPADY,2022-09-05T13:20:25.63
14,NA,HORTICULTURE,Fruits,Banana,Nutrient Management,Asked about Pseudomonas Application in banana,Suggested to do sucker treatment with Pseudomonas fluorescens @ 20 gram per litre of water + soil drenching of  Pseudomonas fluorescens @ 20 gram per litre of water.,KERALA,ERNAKULAM,ANGAMALI,2022-09-05T16:44:54.163
