,title,heading,content,tokens
3303,Pomegranate ellagitannin,Summary,"The pomegranate ellagitannins, which include punicalagin isomers, are ellagitannins found in the sarcotestas, rind (peel), bark or heartwood of pomegranates (Punica granatum).",59
3304,Running through fields of wheat,Reaction,"At a speech at Glastonbury Festival, Labour leader Jeremy Corbyn joked that running through fields of wheat was ""terrible"" behaviour.Elle Hunt of The Guardian said ""One has to imagine even the most bookish of children is capable of more noteworthy wrongdoings than causing fleeting irritation to local agriculturalists... But even if the transient displacement of grain was the pinnacle of May’s youthful misbehaviour, her response failed the test implied of the question.""Media Mole of the New Statesman argued that May had been much naughtier in her political career.",118
3305,Satellite navigation software,Waypoint,"Waypoints are used to mark particular locations, typically used as markers along the ""way"" to somewhere. They are either key entered by users or downloaded from other sources, depending upon the sophistication of the device. Although not linked to tracks or routes, they can be used to simplify the construction of routes, by being able to be re-used. Frequently, waypoints serve a ""safety"" purpose, enabling a route to be taken around obstacles such as shallow water (marine navigation) or streams/cliffs/other hazards which may prevent a safe passage directly from point ""A"" to point ""B"".",126
3306,Soybean,Genetic modification,"Soybeans are one of the ""biotech food"" crops that have been genetically modified, and genetically modified soybeans are being used in an increasing number of products. In 1995, Monsanto company introduced glyphosate-tolerant soybeans that have been genetically modified to be resistant to Monsanto's glyphosate herbicides through substitution of the Agrobacterium sp. (strain CP4) gene EPSP (5-enolpyruvyl shikimic acid-3-phosphate) synthase. The substituted version is not sensitive to glyphosate.In 1997, about 8% of all soybeans cultivated for the commercial market in the United States were genetically modified. In 2010, the figure was 93%. As with other glyphosate-tolerant crops, concern is expressed over damage to biodiversity. A 2003 study concluded the ""Roundup Ready"" (RR) gene had been bred into so many different soybean cultivars, there had been little decline in genetic diversity, but ""diversity was limited among elite lines from some companies"".
The widespread use of such types of GM soybeans in the Americas has caused problems with exports to some regions. GM crops require extensive certification before they can be legally imported into the European Union, where there is considerable supplier and consumer reluctance to use GM products for consumer or animal use. Difficulties with coexistence and subsequent traces of cross-contamination of non-GM stocks have caused shipments to be rejected and have put a premium on non-GM soy.A 2006 United States Department of Agriculture report found the adoption of genetically engineered (GE) soy, corn and cotton reduced the amount of pesticides used overall, but did result in a slightly greater amount of herbicides used for soy specifically. The use of GE soy was also associated with greater conservation tillage, indirectly leading to better soil conservation, as well as increased income from off-farming sources due to the greater ease with which the crops can be managed. Though the overall estimated benefits of the adoption of GE soybeans in the United States was $310 million, the majority of this benefit was experienced by the companies selling the seeds (40%), followed by biotechnology firms (28%) and farmers (20%). The patent on glyphosate-tolerant soybeans expired in 2014, so benefits can be expected to shift.In 2010, a team of American scientists announced they had sequenced the soybean genome—the first legume to be sequenced.",496
3307,Opium,History,"The Mediterranean region contains the earliest archeological evidence of human use; the oldest known seeds date back to more than 5000 BCE in the Neolithic age with purposes such as food, anaesthetics, and ritual. Evidence from ancient Greece indicates that opium was consumed in several ways, including inhalation of vapors, suppositories, medical poultices, and as a combination with hemlock for suicide. Opium is mentioned in the most important medical texts of the ancient and medieval world, including the Ebers Papyrus and the writings of Dioscorides, Galen, and Avicenna. Widespread medical use of unprocessed opium continued through the American Civil War before giving way to morphine and its successors, which could be injected at a precisely controlled dosage.",158
3308,Graph theory,Summary,"In mathematics, graph theory is the study of graphs, which are mathematical structures used to model pairwise relations between objects. A graph in this context is made up of vertices (also called nodes or points) which are connected by edges (also called links or lines). A distinction is made between undirected graphs, where edges link two vertices symmetrically, and directed graphs, where edges link two vertices asymmetrically. Graphs are one of the principal objects of study in discrete mathematics.",106
3309,White mustard,Culinary uses,"The yellow flowers of the plant produce glabrous or sparsely bristled seed pods. Each fruit (silique) contains roughly a half dozen seeds. The plants are harvested for their seeds just prior to the seed pods becoming ripe and bursting open (dehiscing).
White mustard seeds are hard spheroid seeds, usually around 1.0 to 1.5 mm (0.039 to 0.059 in) in diameter, with a color ranging from beige or yellow to light brown. They can be used whole for pickling or toasted for use in dishes. When ground and mixed with other ingredients, a paste or more standard condiment can be produced. Sinapis alba is used to make the commonplace yellow table mustard, with additional yellow coloring provided by turmeric in some formulations.
The seeds contain sinalbin, which is a thioglycoside responsible for their pungent taste. White mustard has fewer volatile oils and the flavor is considered to be milder than that produced by black mustard seeds.In Greece, the plant's leaves are eaten during the winter, before it blooms. Greeks call it vrouves (βρούβα) or lapsana (λαψάνα). The blooming season of this plant (February–March) is celebrated with the Mustard Festival, a series of festivities in the wine country of California (Napa and Sonoma Counties).",299
3310,Congee,Preparation,"To prepare the dish, rice is boiled in a large amount of water until it softens significantly. Congee can be made in a pot or in a rice cooker. Some rice cookers have a ""congee"" setting, allowing it to be cooked overnight. The type of rice used can be either short- or long-grain, depending on what is available and regional cultural influences. Culture also often dictates the way congee is cooked and eaten.
In some cultures, congee is eaten primarily as a breakfast food or late supper; some may also eat it as a substitute for rice at other meals. It is often considered particularly suitable for the sick as a mild, easily digestible food. Because of this, it is commonly served as a staple meal for patients in healthcare facilities.",162
3311,Sodium chloride,Production,"Salt is currently mass-produced by evaporation of seawater or brine from brine wells and salt lakes. Mining of rock salt is also a major source. China is the world's main supplier of salt. In 2017, world production was estimated at 280 million tonnes, the top five producers (in million tonnes) being China (68.0), United States (43.0), India (26.0), Germany (13.0), and Canada (13.0). Salt is also a byproduct of potassium mining.",111
3312,Human iron metabolism,Translational control of cellular iron,"Although some control exists at the transcriptional level, the regulation of cellular iron levels is ultimately controlled at the translational level by iron-responsive element-binding proteins IRP1 and especially IRP2. When iron levels are low, these proteins are able to bind to iron-responsive elements (IREs). IREs are stem loop structures in the untranslated regions (UTRs) of mRNA.Both ferritin and ferroportin contain an IRE in their 5' UTRs, so that under iron deficiency their translation is repressed by IRP2, preventing the unnecessary synthesis of storage protein and the detrimental export of iron. In contrast, TFR1 and some DMT1 variants contain 3' UTR IREs, which bind IRP2 under iron deficiency, stabilizing the mRNA, which guarantees the synthesis of iron importers.",182
