,Unnamed: 0.1,Unnamed: 0,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn
0,3.0,3,,AGRICULTURE,Others,Others,Nutrient Management,Asked about doses of fertilizer for 10 years old Mangosteen,"Suggested to apply 1 Kg lime per plant per year at two weeks ahead of fertilizer application. Apply 75 Kg organic manure per plant per year.  Apply 2.1 Kg Urea, 4 Kg Rajphos and 5 Kg Potash per plant per year. 10 days gap should be given between organic manure and chemical fertilizer application. ",KERALA,KOZHIKODE,KODUVALLY,2022-09-02T12:18:04.24
1,4.0,4,,HORTICULTURE,Condiments and Spices,Nutmeg,Nutrient Management,Asked about doses of fertilizer for 5 years old nutmeg plant,"Suggested to apply lime @ 500g per plant at two weeks ahead of fertilizer application. Apply organic manure at 10 Kg per plant per year.
Apply 110g Urea, 250g Rajphos and 210g Potash per plant during April- june. Apply 110g Urea, 250g Rajphos and 210g Potash per plant during September-October.",KERALA,KOZHIKODE,KODUVALLY,2022-09-02T12:28:35.12
2,5.0,5,,HORTICULTURE,Condiments and Spices,Nutmeg,	Plant Protection	,Asked management of dieback disease of nutmeg,Recommended to prun the diseased twigs 2-3 inches below the affected portion. Paste the pruned twigs with Copper oxychloride 50 WP (10 gram/litre of water) followed by spraying of Copper oxychloride 50 WP (2 gram/litre of water) on infected nutmeg tree.,KERALA,KOZHIKODE,KODUVALLY,2022-09-02T12:30:00.59
3,6.0,6,,HORTICULTURE,Plantation Crops,Arecanut,	Plant Protection	,Asked about management of bud rot disease in Arecanut,"Suggested to remove and destroy dead palms. When the spindle leaf starts withering, remove and destroy all affected tissues of the spindle along with healthy tissues and apply Bordeaux paste and protect it by covering with a polythene cover or a mud pot.
Drench the spindle leaf base and the base of the other leaves with Metalaxyl + Mancozeb 80 WP (2 gram/litre of water) in 2 weeks interval especially during monsoon season. Root feed with Potassium phosphonate 50 SC @ 6ml in 100 ml of water.
",KERALA,KOZHIKODE,KODUVALLY,2022-09-02T12:52:56.337
4,12.0,12,,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,Asked about organic manure application for coconut,"Suggested to apply 25 kg organic manure ( include well rotten cowdung or compost and 2-3 kg neem cake ) along with chemical fertilizers.
Apply 50 kg organic manure if organic cultivation is practiced.",KERALA,KOZHIKODE,KUNNAMANGALAM,2022-09-03T16:33:28.517
5,15.0,15,,HORTICULTURE,Fruits,Banana,Crop Insurance,"Asked about Pradhan Mantri Fasal Bima Yojana (Premium to be paid for banana)
","Suggested that Pradhan Mantri Fasal Bima Yojana (PMFBY) scheme provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crop as a result of natural calamities, pests and diseases.
Apply online through  CSC or Akshaya centre.
For 0.16 ha banana the premium for Pradhan Mantri Fasal Bima Yojana is 1140  for an insured sum of 48000.",KERALA,KOZHIKODE,PANTHALAYANI,2022-09-05T09:43:39.187
6,16.0,16,,AGRICULTURE,Others,Others,Crop Insurance,Asked about Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana (PMFBY) scheme provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crop as a result of natural calamities, pests and diseases.
Apply online through  CSC or Akshaya centre.
",KERALA,KOZHIKODE,KODUVALLY,2022-09-05T12:42:11.4
7,18.0,18,,AGRICULTURE,Others,Others,Crop Insurance,Asked about query related to Pradhan Mantri Fasal Bima Yojana ,"Suggested that Pradhan Mantri Fasal Bima Yojana is a cental sector scheme that provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crops as a result of natural calamities, pests and diseases. PMFBY can be enrolled  through CSCs or Akshaya centre. Documents required are phone number, Aadhaar number, land possession certificate, land right document, sowing certificate or self declaration of intent to sow the proposed crop, and the copy of Bank Pass Book. 
Start of enrolment of farmers for the season(as per crop calendar) is from 1st October. For more details contact Agriculture insurance company of India - 1800 425 7064.

",KERALA,KOZHIKODE,KOZHIKODE,2022-09-05T15:12:16.93
8,21.0,21,,HORTICULTURE,Plantation Crops,Rubber,Seeds and Planting Material,Asked about varieties of rubber,"Suggested that

PB 260: Released from Prang Besar Estate, Malaysia. Parentage Tjir 1 x Gl 1A high yielding clone having good secondary characters.  On farm evaluation(1631 kg/ha/yr)

RRII 105: Released from Rubber Research Institute of India. Parentage Tjir 1 x Gl 1. Clone coming under Category I. Drought tolerant. Good branching with strong union. The highest yielding clone showing stability in yield. TPD On farm evaluation(2210 kg/ha/yr)

RRII 414: Released from Rubber Research Institute of India. Parentage RRII 105 X RRIC 100. Clone coming under Category 1. A high yielding clone with vigorous growth and early tappability. Wood yield in terms of bole volume is high. Incidence of pink disease and abnormal leaf fall are moderate while the clone is relatively tolerant to Corynespora

RRII 417: Released from Rubber Research Institute of India. Parentage RRII 105 x RRIC 100. Clone coming under Category I. A vigorous and high yielding clone with above average tolerance to wind. Quality of wood is good in terms of high density and better processability. Incidence of abnormal leaf fall is low to moderate. Moderately susceptible to Corynespora.

RRII 422: Released from Rubber Research Institute of India. Parentage RRII 105 X RRIC 100. Clone coming under Category I. A clone with vigorous growth and high yield. Incidence of Pink disease is low. Trees are slightly short in stature with high leaf retention in immature phase.

RRII 430: Released from Rubber Research Institute of India. Parentage RRII 105 x RRIC 100. Clone coming under Category I. A high yielding and drought tolerant clone. This clone is vigorous in growth leading to early tappability. Incidence of abnormal leaf fall, pink disease and Corynespora leaf disease are low.
Contact  RRII, phone, 0481 235 3311",KERALA,KOZHIKODE,KOZHIKODE,2022-09-07T16:56:46.403
9,23.0,23,,AGRICULTURE,Others,Others,Crop Insurance,Asked about query related to Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana is a cental sector scheme that provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crops as a result of natural calamities, pests and diseases. PMFBY can be enrolled  through CSCs or Akshaya centre. Documents required are phone number, Aadhaar number, land possession certificate, land right document, sowing certificate or self declaration of intent to sow the proposed crop, and the copy of Bank Pass Book. 
Start of enrolment of farmers for the season (as per crop calendar) is from 1st October. For more details contact Agriculture insurance company of India - 1800 425 7064.

",KERALA,KOZHIKODE,KOZHIKODE,2022-09-09T15:25:15.75
