,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn
0,NA,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,Asked about doses of fertilizer for coconut,"Recommended to apply Organic manure @ 25 kg/plant  every year. Open the coconut basin and apply Lime @ 1 kg has to be applied in acid soils two weeks before of fertilizer application.The first split has to be applied in April-June. The dosage is 500 gram urea, 750 gram raj  phos, 1  kg Potash per palm respectively. The second dose has to apply in September-October and the dosage is 500 gram urea, 750 gram raj phos, 1kg Potash per palm respectively.",KERALA,ERNAKULAM,VADAVUCODE,2022-09-01T09:47:57.587
1,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,ERNAKULAM,VYTTILA,2022-09-01T10:13:36.713
2,NA,HORTICULTURE,Vegetables,Peas (field peas/ garden peas/matar),	Plant Protection	,Asked about management of pod bug in vegetable peas,Suggested to spray Chlorantraniliprole 18.5 SC 3ml in 10 litres of water for management of pod bug in peas,KERALA,ERNAKULAM,KOOVAPPADY,2022-09-01T10:53:53.337
3,NA,HORTICULTURE,Fruits,Banana,Nutrient Management,Asked about white pipe in banana,"Responded for banana white pipe symptom, to apply lime at 1 kilogram per banana and after 2 weeks add Borax 10 gram per plant in the soil or spray 2 gram mixed in 1 litre of water.",KERALA,ERNAKULAM,KOOVAPPADY,2022-09-01T10:57:34.81
4,NA,HORTICULTURE,Fruits,Banana,	Plant Protection	,Asked about management of banana pseudostem weevil,"Responded for management of banana pseudostem weevil, to cut 60 cm long pseudostem of harvested banana plant and cut it longitudinally and keep it in the centre of field covered in the evening. Kill the weevils by hand in the morning. ",KERALA,ERNAKULAM,KOOVAPPADY,2022-09-01T10:59:32.527
5,NA,AGRICULTURE,Others,Others,Government Schemes," Asked about query related to PM KISAN scheme

",Suggested to contact krishi bhavan to change registered phone number in PM KISAN.,KERALA,ERNAKULAM,VAZHAKKULAM,2022-09-01T12:45:08.483
6,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM kisan samman nidhi scheme
","Suggested that
Status: Rejected By State/District/Sub-District/Block
Reason for Rejection: Land Details Not Registered	
For more details contact Assistant Director of Agriculture (ADA) Muvattupuzha: 9383470927, 0485-2814475",KERALA,ERNAKULAM,MUVATTUPUZHA,2022-09-02T12:05:32.07
7,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested to contact Krishibhavan for changing PM Kisan registered phone numer
Farmer Name: JOSSY JOY
Registration Status: Registration done ( KL282016233 )
Registration Date: 05/08/2020
Active/InActive: Active	
PFMS / Bank Status: Account detail is under revalidation process with bank	
Payment Mode: ACCOUNT
Mobile Number: ******6252
Payment Status: 5th installment payment done",KERALA,ERNAKULAM,VAZHAKKULAM,2022-09-02T16:40:44.85
8,NA,HORTICULTURE,Fruits,Banana,	Plant Protection	,Asked about management of pseudostem weevil in banana,"Recommended to regularly remove dried hanging leaves of the plant. Place 50 gram neem cake powder in the leaf axils on the 5th, 6th and 7th months. 
Mix 3 ml neem oil in 1 litre mud slurry and swab around the pseudostem.
Set traps using pseudostem approximatetly 0.5 m length, split lengthwise and lay in the field. Collect weevils from trap and destroy it.
Spray Beauveria bassiana or Metarhizium anisopliae @ 20g per litre water on pseudostem and pseudostem traps. Fill the leaf axil with Beauveria bassiana or Metarhizium anisopliae @ 20g per litre water. 
Spray Chlorpyrifos 20 EC @ 1.5 ml per litre of water with nozzle directed to the leaf axils and bore holes. 
",KERALA,ERNAKULAM,EDAPPALLY,2022-09-03T15:48:18.737
9,NA,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,Asked about management of collar rot in chilli,Suggested to drench copper oxy chloride 2 gram in one litre of water.,KERALA,ERNAKULAM,EDAPPALLY,2022-09-03T16:26:13.62
