,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn
0,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM KISAN scheme

","Recommended to wait for 12th installment, it will be released soon.",KERALA,KOZHIKODE,KUNNUMMAL,2022-09-01T13:14:13.013
1,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about new PM Kisan account registration,"Suggested that farmer can register in  PM Kisan Samman Nidhi scheme via Akshaya or CSC centre. Documents needed- Aadhar number, Phone number, Bank account number, Land tax receipt 2018-2019 and ration card. After registeration submit details in krishi bhavan.",KERALA,KOZHIKODE,KOZHIKODE,2022-09-01T14:52:41.523
2,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM kisan samman nidhi scheme
","Suggested to wait for further installments
PFMS / Bank Status: Account detail is under revalidation process with bank",KERALA,KOZHIKODE,THODANNUR,2022-09-02T12:03:56.053
3,NA,AGRICULTURE,Others,Others,Nutrient Management,Asked about doses of fertilizer for 10 years old Mangosteen,"Suggested to apply 1 Kg lime per plant per year at two weeks ahead of fertilizer application. Apply 75 Kg organic manure per plant per year.  Apply 2.1 Kg Urea, 4 Kg Rajphos and 5 Kg Potash per plant per year. 10 days gap should be given between organic manure and chemical fertilizer application. ",KERALA,KOZHIKODE,KODUVALLY,2022-09-02T12:18:04.24
4,NA,HORTICULTURE,Condiments and Spices,Nutmeg,Nutrient Management,Asked about doses of fertilizer for 5 years old nutmeg plant,"Suggested to apply lime @ 500g per plant at two weeks ahead of fertilizer application. Apply organic manure at 10 Kg per plant per year.
Apply 110g Urea, 250g Rajphos and 210g Potash per plant during April- june. Apply 110g Urea, 250g Rajphos and 210g Potash per plant during September-October.",KERALA,KOZHIKODE,KODUVALLY,2022-09-02T12:28:35.12
5,NA,HORTICULTURE,Condiments and Spices,Nutmeg,	Plant Protection	,Asked management of dieback disease of nutmeg,Recommended to prun the diseased twigs 2-3 inches below the affected portion. Paste the pruned twigs with Copper oxychloride 50 WP (10 gram/litre of water) followed by spraying of Copper oxychloride 50 WP (2 gram/litre of water) on infected nutmeg tree.,KERALA,KOZHIKODE,KODUVALLY,2022-09-02T12:30:00.59
6,NA,HORTICULTURE,Plantation Crops,Arecanut,	Plant Protection	,Asked about management of bud rot disease in Arecanut,"Suggested to remove and destroy dead palms. When the spindle leaf starts withering, remove and destroy all affected tissues of the spindle along with healthy tissues and apply Bordeaux paste and protect it by covering with a polythene cover or a mud pot.
Drench the spindle leaf base and the base of the other leaves with Metalaxyl + Mancozeb 80 WP (2 gram/litre of water) in 2 weeks interval especially during monsoon season. Root feed with Potassium phosphonate 50 SC @ 6ml in 100 ml of water.
",KERALA,KOZHIKODE,KODUVALLY,2022-09-02T12:52:56.337
7,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested that PM KISAN official site is not available due to technical issues. Call later.,KERALA,KOZHIKODE,THUNERI,2022-09-03T10:00:11.91
8,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested to wait for 12th installment till release,KERALA,KOZHIKODE,BALUSSERI,2022-09-03T12:34:59.32
9,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about query related to PM kisan samman nidhi scheme,"Suggested that
Payment Status:	11th installment payment done				
Bank Name:	CANARA BANK				
Credited Account:	********5958				
Credit Date:	31/05/2022				
UTR No:	********8746
Wait for further installments",KERALA,KOZHIKODE,BALUSSERI,2022-09-03T14:03:12.957
